candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
Mark Nafziger,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,1235.25,1209.92,413.86,439.19,,1209.92,,True,,0.00,0.00,0,5,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Mark_Nafziger.pdf,cache_county|406ed2fb6d55|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Mark_Nafziger.pdf,high,"ITEMIZED contrib WITHHELD: 12 parsed row(s) sum to 1035.25 against a stated 1235.25 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6); ITEMIZED LAYER: 0 contribution / 5 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_and_ytd_differ (is_incremental=True); per-row `geometry` records the amount cell read"
Mark Nafziger,County Council,2026,2026-03-21,,c_and_e_report,867.00,553.14,0,313.86,,553.14,,True,,0.00,0.00,0,3,raw/2026/2026_cc_2026_Financial_Disclosure_Mar20_Mark_Nafziger.pdf,cache_county|b6a7b121cd79|raw/2026/2026_cc_2026_Financial_Disclosure_Mar20_Mark_Nafziger.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED contrib WITHHELD: 3 parsed row(s) sum to 967.00 against a stated 867.00 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6); ITEMIZED LAYER: 0 contribution / 3 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Peter Thatcher,County Council,2026,2026-04-03,,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Peter_Thatcher.pdf,cache_county|85534c15fa68|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Peter_Thatcher.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide
Peter Thatcher,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Peter_Thatcher.pdf,cache_county|648136bce0c1|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Peter_Thatcher.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide
Peter Thatcher,County Council,2026,2026-03-11,,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_PreCon_Peter_Thatcher.pdf,cache_county|e9a9d4f81aac|raw/2026/2026_cc_2026_Financial_Disclosure_PreCon_Peter_Thatcher.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide
Sandi Goodlander,County Council,2026,2026-04-03,,c_and_e_report,0,500,0,-500,,500.0,,True,,0.00,0.00,0,1,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Sandi_Goodlander.pdf,cache_county|fb7236b4a96c|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Sandi_Goodlander.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 0 contribution / 1 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Sandi Goodlander,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,0,187.95,0,-187.95,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Sandi_Goodlander.pdf,cache_county|37e45167ae7f|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Sandi_Goodlander.pdf,high,"ITEMIZED expend WITHHELD: 1 parsed row(s) sum to 2026.00 against a stated 187.95 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6)"
Craig Anhder,County Executive,2026,2025-09-09,,c_and_e_report,,1597.62,0,-1097.62,,1597.62,,True,,0.00,0.00,0,7,raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,cache_county|1f8c9e192640|raw/2025/2025_cc_2025_Craig_Anhder_Financial_Docusign.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 0 contribution / 7 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Dirk Lewis Anderson,County Executive,2026,2025-09-09,,c_and_e_report,126.50,591.61,0.47,-464.64,,591.61,,True,,0.00,0.00,0,4,raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,cache_county|2d128dbccfd5|raw/2025/2025_cc_2025_Dirk_Anderson_Financial_Docusign.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED contrib WITHHELD: 2 parsed row(s) sum to 226.50 against a stated 126.50 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6); ITEMIZED LAYER: 0 contribution / 4 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Mark Hurd,County Executive,2026,2025-09-09,,c_and_e_report,365.95,365.95,0,0,365.95,365.95,True,True,0.00,0.00,365.95,3,3,raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,cache_county|62f9937b176d|raw/2025/2025_cc_2025_Mark_Hurd_Financial_Docusign.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 3 contribution / 3 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Micah Safsten,County Executive,2026,2025-09-09,,c_and_e_report,805,857.20,0,-52.20,,857.2,,True,,0.00,0.00,0,10,raw/2025/2025_cc_2025_Micah_Safsten_Financial_Docusign.pdf,cache_county|9b04eac77463|raw/2025/2025_cc_2025_Micah_Safsten_Financial_Docusign.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED contrib WITHHELD: 1 parsed row(s) sum to 250.00 against a stated 805.00 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6); ITEMIZED LAYER: 0 contribution / 10 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
N George Daines,County Executive,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,0,,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_N_George_Daines.pdf,cache_county|b32a9b290ea9|raw/2026/2026_cc_2026_Financial_Disclosure_June16_N_George_Daines.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; DIFFERENT INSTRUMENT - form_read='other'. This is NOT the four-page cache_cfd paper form; it is a printout of the Cache County Elections Division ONLINE JOTFORM, headed 'CANIDIDATE FINANCIAL DISCLOSURE' (the misspelling of 'CANDIDATE' is the county's own, reproduced verbatim) over a mountain-silhouette banner with a 'Cache County 1867 ELECTIONS DIVISION' seal, with 'Powered by Jotform Sign' under the signature and 'Preview PDF' / 'Continue' UI buttons still visible at the foot of page 4. All field values are typed form-fill text, not handwriting. It is the only form in this chunk that PRINTS A STATUTORY CITATION: Cache County Municipal Code § 2.21.050 (recorded in statutory_citation_printed). SCOPE: county, County Executive - the ledger's county_confirmed status is upheld by the page, and nothing on the document names a school-board seat. FORM STRUCTURE DIFFERS FROM THE A-F SUMMARY PAGE: this instrument has a 'Balance at Beginning of Reporting Period' field and four total fields ('Total amount of contributions received This Period', '... year to date', 'Total amount of Expenditures made this period', '... this year to date'), which map onto boxes A/B/C/D/E. It has NO 'Subtotal Before Expenditures' field and NO 'Balance at Close of Reporting Period' field at all, so F and closing_balance are '' because the form does not ask for them - an absent field, not an unreadable one. Likewise it has no Schedule A/Schedule B pages with printed TOTAL lines, so both schedule_totals are '' (the itemization is a free-text box, and both boxes read 'NONE'). 'NONE' IS THE PRINTED WORD in all four total fields and in both itemization boxes, recorded verbatim per protocol rule 2; only the beginning balance is a figure, '$0.00'. There are no zero glyphs on this filing. AFFIRMATION LINE NOT PERSONALIZED: page 4 reads 'I, Candidate Name affirm that this Report of Contributions and Expenditure is true...' - 'Candidate Name' is the form's own placeholder label, left unfilled, so the affirmation names no one; the signature block instead holds a drawn three-letter mark reading 'N G D' and the Date field '06-14-2026'. SCAN: heavily grey/mottled photocopy, but every typed value is legible. Two distinct clerk time stamps appear: PM 4:23 on page 1 and PM 4:26 on pages 2-4, both dated 2026 JUN 15 - recorded as observed. Ledger agreement: ledger candidate 'N George Daines' matches the form's 'N. George Daines'; ledger form_family='unclassified' is explained by this being the Jotform variant rather than any of the known families."
N. George Daines,County Executive,2026,2025-09-09,,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2025/2025_cc_2025_George_Daines_Financial_Docusign.pdf,cache_county|7b2b69a4fc3f|raw/2025/2025_cc_2025_George_Daines_Financial_Docusign.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide
N. George Daines,County Executive,2026,2026-03-30,,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_N_George_Daines.pdf,cache_county|f0a073812f8c|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_N_George_Daines.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide
Rhyan Blaine Dockter,County Executive,2026,2025-09-09,,c_and_e_report,0,124.06,0,-124.06,,124.06,,True,,0.00,0.00,0,2,raw/2025/2025_cc_2025_Rhyan_Dockter_Financial_Docusign.pdf,cache_county|12753edb19e7|raw/2025/2025_cc_2025_Rhyan_Dockter_Financial_Docusign.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 0 contribution / 2 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Stephanie Miller,County Executive,2026,2025-09-09,,c_and_e_report,0,74.45,0,74.45,,,,,,,,0,0,raw/2025/2025_cc_2025_Stephanie_Miller_Financial_Disclosure.pdf,cache_county|362272bf004a|raw/2025/2025_cc_2025_Stephanie_Miller_Financial_Disclosure.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Typed/filled county CFD form (Cache County Elections Division), 4 pages: cover, Schedule A, Schedule B, Summary Page. No statutory citation is printed anywhere on the form. Amendment box marked 'No'. ARITHMETIC DISAGREEMENT recorded verbatim, not corrected: the Summary Page prints F (Subtotal Before Expenditures) = 0 and D = $74.45, but the 'Balance at Close of Reporting Period (Box F - Box D)' box prints $74.45 rather than a negative figure; the filer's own printed value is recorded as-is. Schedule A page 2 is entirely blank of line items and prints 'Subtotal for this page $ 0' and 'Total Contributions Received $ 0' (the zeros are small handwritten/typed '0' glyphs, legible). Schedule B page 3 itemizes three expenditures (Wix.com $38.52, Godaddy.com $12.19, Sam's Club $23.74) and prints 'Total Expenditures Made $ $74.45'. Date inconsistency within the document: page 1 'Date of Report' and the signature date both read 09/04/2025, while pages 2-4 'Date of Report' read 09/03/2025 - both recorded as seen. Ledger candidate 'Stephanie Miller' matches the page."
D. Chad Jensen,Sheriff,2026,2026-06-16,Pre-Primary,c_and_e_report,0,752.56,0,-752.56,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_D_Chad_Jensen.pdf,cache_county|3cf52334fbfc|raw/2026/2026_cc_2026_Financial_Disclosure_June16_D_Chad_Jensen.pdf,high,"expend: the born-digital face states a total but itemizes no row this family can read cleanly — reconciliation UNKNOWN, never a fabricated mismatch"
D.Chad Jensen,Sheriff,2026,2026-04-06,,c_and_e_report,0,752.56,0,-752.56,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Chad_Jensen.pdf,cache_county|53ff3fe039aa|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Chad_Jensen.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; expend: the born-digital face states a total but itemizes no row this family can read cleanly — reconciliation UNKNOWN, never a fabricated mismatch"
